brand,model,network_technology,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
Huawei,P8 Lite (2017),GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100 , LTE,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017  January,Available. Released 2017  January,147.2 x 72.9 x 7.6 mm (5.80 x 2.87 x 0.30 in),147,Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.2 inches (~69.5% screen-to-body ratio),1080 x 1920 pixels (~424 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.1 GHz Cortex-A53 & 4x1.7 GHz Cortex-A53),HiSilicon Kirin 655,Mali-T830MP2,microSD  up to 256 GB (uses SIM 2 slot),16 GB,3 GB RAM,12 MP| autofocus| LED flash,8 MP| f/2.0| 1080p,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.1| A2DP| EDR| LE,Yes with A-GPS GLONASS,Yes (market dependent),FM radio,microUSB 2.0| USB On-The-Go,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Non-removable Li-Ion 3000 mAh battery,Black| White| Gold| Blue (India),200,http://cdn2.gsmarena.com/vv/bigpic/huawei-p8-lite-2017.jpg
Samsung,Galaxy S7 (USA),GSM / CDMA / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100 - G930A| G930V,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 20(800)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500) - G930A,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2016  February,Available. Released 2016  March,142.4 x 69.6 x 7.9 mm (5.61 x 2.74 x 0.31 in),152,Nano-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~72.3% screen-to-body ratio),1440 x 2560 pixels (~576 ppi pixel density),Android 6.0 (Marshmallow)| upgradable to 7.0 (Nougat),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 820,Adreno 530,microSD  up to 256 GB,32 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash,5 MP| f/1.7| 22mm| dual video call| Auto HDR,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,4.2| A2DP| LE| aptX,Yes with A-GPS GLONASS,Yes,No,microUSB 2.0| USB Host,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 3000 mAh battery,Black Onyx| Silver Titanium| Gold Platinum,460,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7-usa.jpg
Samsung,Galaxy S7 edge (USA),GSM / CDMA / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1900 / 2100 - G935A| G935P| G935R,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 20(800)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500) - G935A,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2016  February,Available. Released 2016  March,150.9 x 72.6 x 7.7 mm (5.94 x 2.86 x 0.30 in),157,Nano-SIM,Super AMOLED capacitive touchscreen  16M colors,5.5 inches (~76.1% screen-to-body ratio),1440 x 2560 pixels (~534 ppi pixel density),Android 6.0 (Marshmallow),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 820,Adreno 530,microSD  up to 256 GB (dedicated slot),32 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash,5 MP| f/1.7| 22mm| dual video call| Auto HDR,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,4.2| A2DP| LE| aptX,Yes with A-GPS GLONASS,Yes,FM radio (after SW update; operator dependent),microUSB 2.0| USB Host,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 3600 mAh battery,Black Onyx| Silver Titanium| Gold Platinum| Coral Blue,550,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7-edge-usa.jpg
Samsung,Galaxy S7 active,GSM / HSPA / LTE,HSDPA 850 / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 20(800)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps,Yes,Yes,2016  June,Available. Released 2016  June,148.8 x 74.9 x 9.9 mm (5.86 x 2.95 x 0.39 in),184.8,Nano-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~64.3% screen-to-body ratio),1440 x 2560 pixels (~576 ppi pixel density),Android 6.0 (Marshmallow)| upgradable to 7.0 (Nougat),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 820,Adreno 530,microSD  up to 256 GB (dedicated slot),32 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash,5 MP| f/1.7| 22mm| dual video call| Auto HDR,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,4.2| A2DP| LE| aptX,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,microUSB 2.0| USB Host,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 4000 mAh battery,Camo Green| Titanium Gray| Sandy Gold,710,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7-active.jpg
Samsung,Galaxy Note7 (USA),GSM / CDMA / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2016  August. Released 2016  August,Discontinued,153.5 x 73.9 x 7.9 mm (6.04 x 2.91 x 0.31 in),169,Nano-SIM,Super AMOLED capacitive touchscreen  16M colors,5.7 inches (~79.0% screen-to-body ratio),1440 x 2560 pixels (~515 ppi pixel density),Android 6.0.1 (Marshmallow),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 820,Adreno 530,microSD  up to 256 GB (dedicated slot),64 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash,5 MP| f/1.7| 22mm| dual video call| Auto HDR,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,4.2| A2DP| EDR| LE,Yes with A-GPS GLONASS,Yes,No,3.1| Type-C 1.0 reversible connector,Iris scanner| fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 3500 mAh battery,Blue Coral| Silver Titanium| Black Onyx,760,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note7-usa.jpg
Samsung,Galaxy S7,GSM / HSPA / LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - G930F| G930FD| G930W8,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 28(700)| 38(2600)| 39(1900)| 40(2300)| 41(2500) - G930F| G930FD,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps,Yes,Yes,2016  February,Available. Released 2016  March,142.4 x 69.6 x 7.9 mm (5.61 x 2.74 x 0.31 in),152,Single SIM (Nano-SIM) - G930F,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~72.1% screen-to-body ratio),1440 x 2560 pixels (~577 ppi pixel density),Android 6.0 (Marshmallow)| upgradable to 7.0 (Nougat),Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53),Exynos 8890 Octa,Mali-T880 MP12,microSD  up to 256 GB (dedicated slot) - single-SIM model (G930F  G930W8),32/64 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash| ,"5 MP| 1/4.1"" sensor size| 1.34 µm pixel size| f/1.7| 22mm| dual video call| Auto HDR",Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,4.2| A2DP| LE| aptX,Yes with A-GPS GLONASS BDS,Yes,No,microUSB 2.0| USB Host,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 3000 mAh battery,Black| White| Gold| Silver| Pink Gold,500,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7--.jpg
Samsung,Galaxy S7 edge,GSM / HSPA / LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - G935F| G935FD| G935W8,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 28(700)| 38(2600)| 39(1900)| 40(2300)| 41(2500) - G935F| G935FD,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps,Yes,Yes,2016  February,Available. Released 2016  March,150.9 x 72.6 x 7.7 mm (5.94 x 2.86 x 0.30 in),157,Single SIM (Nano-SIM) - G935F| G935W8,Super AMOLED capacitive touchscreen  16M colors,5.5 inches (~76.1% screen-to-body ratio),1440 x 2560 pixels (~534 ppi pixel density),Android 6.0 (Marshmallow)| upgradable to 7.0 (Nougat),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo) - G9350,Qualcomm MSM8996 Snapdragon 820 - G9350,Adreno 530 - G9350,microSD  up to 256 GB (dedicated slot) - single-SIM model - G935F  G935W8,32/64/128 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash| ,"5 MP| 1/4.1"" sensor size| 1.34 µm pixel size| f/1.7| 22mm| dual video call| Auto HDR",Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,4.2| A2DP| LE| aptX,Yes with A-GPS GLONASS BDS,Yes,No,microUSB 2.0| USB Host,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 3600 mAh battery,Black| White| Gold| Silver| Pink Gold| Black Pearl| Coral Blue,570,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7-edge-.jpg
Samsung,Galaxy Note7,GSM / HSPA / LTE,HSDPA 850 / 900 / 1900 / 2100 , LTE,HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9/Cat10 or LTE-A (3CA) Cat12 600/150 Mbps,Yes,Yes,2016  August. Released 2016  September,Discontinued,153.5 x 73.9 x 7.9 mm (6.04 x 2.91 x 0.31 in),169,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),Super AMOLED capacitive touchscreen  16M colors,5.7 inches (~78.0% screen-to-body ratio),1440 x 2560 pixels (~518 ppi pixel density),Android 6.0.1 (Marshmallow),Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53),Exynos 8890 Octa,Mali-T880 MP12,microSD  up to 256 GB (dedicated slot) - single-SIM model,64 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash| ,5 MP| f/1.7| 22mm| dual video call| Auto HDR,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,4.2| A2DP| EDR| LE,Yes with A-GPS GLONASS BDS GALILEO,Yes,No,3.1| Type-C 1.0 reversible connector,Iris scanner| fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 3500 mAh battery,Blue Coral| Gold Platinum| Silver Titanium| Black Onyx,850,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-note7.jpg
Samsung,Galaxy S8,GSM / HSPA / LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 18(800)| 19(800)| 20(800)| 25(1900)| 26(850)| 28(700)| 32(1500)| 66(1700/2100)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A (4CA) Cat16 1024/150 Mbps,Yes,Yes,2017  March,Available. Released 2017  April,148.9 x 68.1 x 8 mm (5.86 x 2.68 x 0.31 in),155,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),Super AMOLED capacitive touchscreen  16M colors,5.8 inches (~83.6% screen-to-body ratio),1440 x 2960 pixels (~570 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.3 GHz & 4x1.7 GHz) - EMEA,Exynos 8895 Octa - EMEA,Mali-G71 MP20 - EMEA,microSD  up to 256 GB (dedicated slot) - single-SIM model,64 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash| ,8 MP| f/1.7| autofocus| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,5.0| A2DP| LE| aptX,Yes with A-GPS GLONASS BDS GALILEO,Yes,No,3.1| Type-C 1.0 reversible connector,Iris scanner| fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 3000 mAh battery,Midnight Black| Orchid Gray| Arctic Silver| Coral Blue| Maple Gold,700,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s8-.jpg
Samsung,Galaxy S8+,GSM / HSPA / LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 17(700)| 20(800)| 28(700),HSPA 42.2/5.76 Mbps  LTE-A (4CA) Cat16 1024/150 Mbps,Yes,Yes,2017  March,Available. Released 2017  April,159.5 x 73.4 x 8.1 mm (6.28 x 2.89 x 0.32 in),173,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.2 inches (~84.0% screen-to-body ratio),1440 x 2960 pixels (~529 ppi pixel density),Android 7.0 (Nougat),Octa-core (4x2.3 GHz & 4x1.7 GHz) - EMEA,Exynos 8895 Octa - EMEA,Mali-G71 MP20 - EMEA,microSD  up to 256 GB (dedicated slot) - single-SIM model,64 GB,4 GB RAM or 128 GB| 6 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash| ,8 MP| f/1.7| autofocus| 1440p@30fps| dual video call| Auto HDR,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,5.0| A2DP| LE| aptX,Yes with A-GPS GLONASS BDS GALILEO,Yes,No,3.1| Type-C 1.0 reversible connector,Iris scanner| fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 3500 mAh battery,Midnight Black| Orchid Gray| Arctic Silver| Coral Blue| Maple Gold| Rose Pink,900,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s8-plus-.jpg
Motorola,Moto G5 Plus,GSM / CDMA / HSPA / EVDO / LTE,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - XT1687 (USA),LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 25(1900)| 26(850)| 38(2600)| 41(2500)| 66(1700/2100) - XT1687 (USA),HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2017  February,Available. Released 2017  April,150.2 x 74 x 7.7 mm (5.91 x 2.91 x 0.30 in),155,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.2 inches (~67.1% screen-to-body ratio),1080 x 1920 pixels (~424 ppi pixel density),Android 7.0 (Nougat),Octa-core 2.0 GHz Cortex-A53,Qualcomm MSM8953 Snapdragon 625,Adreno 506,microSD  up to 256 GB,32/64 GB,2/4 GB RAM; 32 GB| 3 GB RAM,12 MP| f/1.7| autofocus| dual-LED (dual tone) flash,5 MP| f/2.2,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| WiFi Direct| hotspot,4.2| A2DP| LE| EDR,Yes with A-GPS GLONASS,Yes (market dependent),FM radio,microUSB 2.0| USB Host,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass (USA model only),Non-removable Li-Ion 3000 mAh battery,Lunar Grey| Fine Gold,280,http://cdn2.gsmarena.com/vv/bigpic/motorola-moto-g5-plus1.jpg
